gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__condition,raw__derived tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM4602968,Co-cultured with HepG2 cells. No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Co-cultured with HepG2 cells. No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508306,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602968/suppl/GSM4602968_Caco2_CoCul_Cont.rep1.TPM.txt.gz,Caco2_CoCul_Cont.rep1
GSM4602969,Co-cultured with HepG2 cells. No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Co-cultured with HepG2 cells. No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508307,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602969/suppl/GSM4602969_Caco2_CoCul_Cont.rep2.TPM.txt.gz,Caco2_CoCul_Cont.rep2
GSM4602970,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508308,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602970/suppl/GSM4602970_Caco2_CoCul_FA.rep1.TPM.txt.gz,Caco2_CoCul_FA.rep1
GSM4602971,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508309,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602971/suppl/GSM4602971_Caco2_CoCul_FA.rep2.TPM.txt.gz,Caco2_CoCul_FA.rep2
GSM4602972,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Co-cultured with HepG2 cells. Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508310,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602972/suppl/GSM4602972_Caco2_CoCul_FA.rep3.TPM.txt.gz,Caco2_CoCul_FA.rep3
GSM4602973,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508311,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602973/suppl/GSM4602973_Caco2_MonoCul_Cont.rep1.TPM.txt.gz,Caco2_MonoCul_Cont.rep1
GSM4602974,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508312,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602974/suppl/GSM4602974_Caco2_MonoCul_Cont.rep2.TPM.txt.gz,Caco2_MonoCul_Cont.rep2
GSM4602975,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,No treatments with free fatty acid,Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508313,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602975/suppl/GSM4602975_Caco2_MonoCul_Cont.rep3.TPM.txt.gz,Caco2_MonoCul_Cont.rep3
GSM4602976,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508314,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602976/suppl/GSM4602976_Caco2_MonoCul_FA.rep1.TPM.txt.gz,Caco2_MonoCul_FA.rep1
GSM4602977,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508315,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602977/suppl/GSM4602977_Caco2_MonoCul_FA.rep2.TPM.txt.gz,Caco2_MonoCul_FA.rep2
