gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5273490,Liver tissues from patients with advanced liver disease and HCC,Nizatidine,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,CD45+ immune cells,Liver tissues from patients with advanced liver disease and HCC,Nizatidine,SRA,Liver immune cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX10723954,,Nizatidine-treated immune cells
GSM5273491,Liver tissues from patients with advanced liver disease and HCC,DMSO,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,CD45+ immune cells,Liver tissues from patients with advanced liver disease and HCC,DMSO,SRA,Liver immune cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX10723955,,DMSO-treated immune cells
