gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8729563,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340496,,"hepatocytes, obese cord plasma, 24hrs, 1"
GSM8729564,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340497,,"hepatocytes, normal weight cord plasma, 24hrs, 1"
GSM8729565,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340498,,"hepatocytes, obese cord plasma, 24hrs, 2"
GSM8729566,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340499,,"hepatocytes, normal weight cord plasma, 24hrs, 2"
GSM8729567,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340500,,"hepatocytes, normal weight cord plasma, 24hrs, 3"
GSM8729568,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340501,,"hepatocytes, obese cord plasma, 24hrs, 3"
GSM8729569,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340502,,"hepatocytes, normal weight cord plasma, 24hrs, 4"
GSM8729570,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340503,,"hepatocytes, normal weight cord plasma, 24hrs, 5"
GSM8729571,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340504,,"hepatocytes, obese cord plasma, 24hrs, 4"
GSM8729572,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340505,,"hepatocytes, normal weight cord plasma, 24hrs, 6"
GSM8729573,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340506,,"hepatocytes, obese cord plasma, 24hrs, 5"
GSM8729574,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340507,,"hepatocytes, obese cord plasma, 24hrs, 6"
GSM8729575,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340508,,"hepatocytes, normal weight cord plasma, 24hrs, 7"
GSM8729576,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340509,,"hepatocytes, normal weight cord plasma, 24hrs, 8"
GSM8729577,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340510,,"hepatocytes, normal weight cord plasma, 24hrs, 9"
GSM8729578,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340511,,"hepatocytes, obese cord plasma, 24hrs, 7"
