gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__ajcc stage,raw__genotype,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM5009665,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009665/suppl/GSM5009665_651N_K27ac.merged.nodup.tagAlign_x_651N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009665/suppl/GSM5009665_651N_K27ac.merged.nodup.tagAlign_x_651N_input.merged.nodup.tagAlign.pval.signal.bw,651_NT_H3K27ac_Chip-seq
GSM5009666,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009666/suppl/GSM5009666_651T_K27ac.merged.nodup.tagAlign_x_651T_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009666/suppl/GSM5009666_651T_K27ac.merged.nodup.tagAlign_x_651T_input.merged.nodup.tagAlign.pval.signal.bw,651_T_H3K27ac_Chip-seq
GSM5009667,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009667/suppl/GSM5009667_678NT-H3K27ac.nodup.tagAlign_x_678NT-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009667/suppl/GSM5009667_678NT-H3K27ac.nodup.tagAlign_x_678NT-input.nodup.tagAlign.pval.signal.bw,678_NT_H3K27ac_Chip-seq
GSM5009668,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009668/suppl/GSM5009668_678T-H3K27ac.nodup.tagAlign_x_678T-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009668/suppl/GSM5009668_678T-H3K27ac.nodup.tagAlign_x_678T-input.nodup.tagAlign.pval.signal.bw,678_T_H3K27ac_Chip-seq
GSM5009669,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009669/suppl/GSM5009669_707NT-H3K27ac.nodup.tagAlign_x_707NT-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009669/suppl/GSM5009669_707NT-H3K27ac.nodup.tagAlign_x_707NT-input.nodup.tagAlign.pval.signal.bw,707_NT_H3K27ac_Chip-seq
GSM5009670,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 3,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009670/suppl/GSM5009670_707T-H3K27ac.nodup.tagAlign_x_707T-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009670/suppl/GSM5009670_707T-H3K27ac.nodup.tagAlign_x_707T-input.nodup.tagAlign.pval.signal.bw,707_T_H3K27ac_Chip-seq
GSM5009671,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009671/suppl/GSM5009671_715NT-H3K27ac.nodup.tagAlign_x_715NT-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009671/suppl/GSM5009671_715NT-H3K27ac.nodup.tagAlign_x_715NT-input.nodup.tagAlign.pval.signal.bw,715_NT_H3K27ac_Chip-seq
GSM5009672,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009672/suppl/GSM5009672_715T-H3K27ac.nodup.tagAlign_x_715T-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009672/suppl/GSM5009672_715T-H3K27ac.nodup.tagAlign_x_715T-input.nodup.tagAlign.pval.signal.bw,715_T_H3K27ac_Chip-seq
GSM5009673,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009673/suppl/GSM5009673_717N_K27ac.merged.nodup.tagAlign_x_717N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009673/suppl/GSM5009673_717N_K27ac.merged.nodup.tagAlign_x_717N_input.merged.nodup.tagAlign.pval.signal.bw,717_NT_H3K27ac_Chip-seq
GSM5009674,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009674/suppl/GSM5009674_717T_K27ac.merged.nodup.tagAlign_x_717T_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009674/suppl/GSM5009674_717T_K27ac.merged.nodup.tagAlign_x_717T_input.merged.nodup.tagAlign.pval.signal.bw,717_T_H3K27ac_Chip-seq
GSM5009675,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009675/suppl/GSM5009675_754NT-H3K27ac.nodup.tagAlign_x_754NT-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009675/suppl/GSM5009675_754NT-H3K27ac.nodup.tagAlign_x_754NT-input.nodup.tagAlign.pval.signal.bw,754_NT_H3K27ac_Chip-seq
GSM5009676,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009676/suppl/GSM5009676_754T-H3K27ac.nodup.tagAlign_x_754T-input.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009676/suppl/GSM5009676_754T-H3K27ac.nodup.tagAlign_x_754T-input.nodup.tagAlign.pval.signal.bw,754_T_H3K27ac_Chip-seq
GSM5009677,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009677/suppl/GSM5009677_796N_K27ac.merged.nodup.tagAlign_x_796N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009677/suppl/GSM5009677_796N_K27ac.merged.nodup.tagAlign_x_796N_input.merged.nodup.tagAlign.pval.signal.bw,796_NT_H3K27ac_Chip-seq
GSM5009678,Tumor tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,AJCC 1,Tumor tissue,SRA,Tumor tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009678/suppl/GSM5009678_796T_K27ac.merged.nodup.tagAlign_x_796T_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009678/suppl/GSM5009678_796T_K27ac.merged.nodup.tagAlign_x_796T_input.merged.nodup.tagAlign.pval.signal.bw,796_T_H3K27ac_Chip-seq
GSM5009679,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009679/suppl/GSM5009679_705N_K27ac.merged.nodup.tagAlign_x_705N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009679/suppl/GSM5009679_705N_K27ac.merged.nodup.tagAlign_x_705N_input.merged.nodup.tagAlign.pval.signal.bw,705_NT_H3K27ac_Chip-seq
GSM5009680,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009680/suppl/GSM5009680_741N_K27ac.merged.nodup.tagAlign_x_741N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009680/suppl/GSM5009680_741N_K27ac.merged.nodup.tagAlign_x_741N_input.merged.nodup.tagAlign.pval.signal.bw,741_NT_H3K27ac_Chip-seq
GSM5009681,Adjacent non-tumor liver tissue,Illumina HiSeq 4000,ChIP,genomic,ChIP-Seq,genomic DNA,Homo sapiens,GPL20301,,,Adjacent non-tumor liver tissue,SRA,Adjacent non-tumor liver tissue from NAFLD-HCC patient,,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009681/suppl/GSM5009681_768N_K27ac.merged.nodup.tagAlign_x_768N_input.merged.nodup.tagAlign.fc.signal.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5009nnn/GSM5009681/suppl/GSM5009681_768N_K27ac.merged.nodup.tagAlign_x_768N_input.merged.nodup.tagAlign.pval.signal.bw,768_NT_H3K27ac_Chip-seq
