gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9117745,"Control, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770291,,"P-hep-orgs, Control, Day2, rep1"
GSM9117746,"Control, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770292,,"P-hep-orgs, Control, Day2, rep2"
GSM9117747,"Control, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770293,,"P-hep-orgs, Control, Day2, rep3"
GSM9117748,"FFAs, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770294,,"P-hep-orgs, FFAs, Day2, rep1"
GSM9117749,"FFAs, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770295,,"P-hep-orgs, FFAs, Day2, rep2"
GSM9117750,"FFAs, Day2",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day2",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770296,,"P-hep-orgs, FFAs, Day2, rep3"
GSM9117751,"Control, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770297,,"P-hep-orgs, Control, Day10, rep1"
GSM9117752,"Control, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770298,,"P-hep-orgs, Control, Day10, rep2"
GSM9117753,"Control, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"Control, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770299,,"P-hep-orgs, Control, Day10, rep3"
GSM9117754,"FFAs, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770300,,"P-hep-orgs, FFAs, Day10, rep1"
GSM9117755,"FFAs, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770301,,"P-hep-orgs, FFAs, Day10, rep2"
GSM9117756,"FFAs, Day10",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H9 differentiated cells | Polarized Hepatocyte Organoids,"FFAs, Day10",SRA,Polarized Hepatocyte Organoids,https://www.ncbi.nlm.nih.gov/sra?term=SRX29770302,,"P-hep-orgs, FFAs, Day10, rep3"
