gsm,canon__group,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__group,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9792733,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650820,,MASLD 6
GSM9792734,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650821,,MASLD 7
GSM9792735,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650822,,MASLD 8
GSM9792736,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650823,,MASLD 9
GSM9792737,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650824,,CTRL 2
GSM9792738,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650825,,MASLD 10
GSM9792739,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650826,,MASLD 11
GSM9792740,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650827,,MASLD 12
GSM9792741,MASLD,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,MASLD,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650828,,MASLD 13
GSM9792742,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650830,,CTRL 3
GSM9792743,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650831,,CTRL 4
GSM9792744,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650832,,CTRL 5
GSM9792745,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650833,,CTRL 6
GSM9792746,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650834,,CTRL 7
GSM9792747,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650835,,CTRL 8
GSM9792748,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650836,,CTRL 9
GSM9792749,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650837,,CTRL 10
GSM9792750,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650838,,CTRL 11
GSM9792751,CTRL,NonTumor liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CTRL,NonTumor liver,SRA,NonTumor liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33650839,,CTRL 12
