gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7658117,liver,lentivirus HepaRG-HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134301,,"HepaRG cells, HSD17B13, rep1"
GSM7658118,liver,lentivirus HepaRG-HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134302,,"HepaRG cells, HSD17B13, rep2"
GSM7658119,liver,lentivirus HepaRG-HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134303,,"HepaRG cells, HSD17B13, rep3"
GSM7658120,liver,lentivirus HepaRG-NC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-NC,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134304,,"HepaRG cells, Control, rep1"
GSM7658121,liver,lentivirus HepaRG-NC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-NC,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134305,,"HepaRG cells, Control, rep2"
GSM7658122,liver,lentivirus HepaRG-NC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG,hepatocyte,WT,liver,lentivirus HepaRG-NC,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134306,,"HepaRG cells, Control, rep3"
GSM7658123,liver,AAV human HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV human HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134307,,"KO mus hepatocytes, AAV human HSD17B13, rep1"
GSM7658124,liver,AAV human HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV human HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134308,,"KO mus hepatocytes, AAV human HSD17B13, rep2"
GSM7658125,liver,AAV human HSD17B13,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV human HSD17B13,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134309,,"KO mus hepatocytes, AAV human HSD17B13, rep3"
GSM7658126,liver,AAV control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134310,,"KO mus hepatocytes, AAV control, rep1"
GSM7658127,liver,AAV control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134311,,"KO mus hepatocytes, AAV control, rep2"
GSM7658128,liver,AAV control,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,,hepatocyte,KO,liver,AAV control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX21134312,,"KO mus hepatocytes, AAV control, rep3"
