gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM3728304,Non-diseased,liver,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,LEC-enriched hepatic non-parenchymal cells,Non-diseased,liver,SRA,LEC-enriched hepatic non-parenchymal cells (Non-Diseased),https://www.ncbi.nlm.nih.gov/sra?term=SRX5702672,,"LEC-enriched hepatic non-parenchymal cells (Non-Diseased, rep 1)"
GSM3728305,Non-diseased,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,LEC-enriched hepatic non-parenchymal cells,Non-diseased,liver,SRA,LEC-enriched hepatic non-parenchymal cells (Non-Diseased),https://www.ncbi.nlm.nih.gov/sra?term=SRX5702673,,"LEC-enriched hepatic non-parenchymal cells (Non-Diseased, rep 2)"
GSM3728306,NASH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,LEC-enriched hepatic non-parenchymal cells,NASH,liver,SRA,LEC-enriched hepatic non-parenchymal cells (NASH),https://www.ncbi.nlm.nih.gov/sra?term=SRX5702674,,LEC-enriched hepatic non-parenchymal cells (NASH)
GSM3728307,HCV,liver,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,LEC-enriched hepatic non-parenchymal cells,HCV,liver,SRA,LEC-enriched hepatic non-parenchymal cells (HCV),https://www.ncbi.nlm.nih.gov/sra?term=SRX5702675,,LEC-enriched hepatic non-parenchymal cells (HCV)
