gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__genotype,raw__strain,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM6234824,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675771,,L3_Humanized control liver- ZT2
GSM6234825,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675772,,L4_Humanized control liver- ZT2
GSM6234826,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675773,,L5_Humanized control liver- ZT2
GSM6234827,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675774,,L6_Humanized control liver- ZT2
GSM6234828,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675775,,L7_Humanized control liver- ZT10
GSM6234829,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675776,,L8_Humanized control liver- ZT10
GSM6234830,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675777,,L9_Humanized control liver- ZT10
GSM6234831,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675778,,L13-2_Humanized control liver- ZT10
GSM6234832,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675779,,L16_Humanized control liver- ZT18
GSM6234833,h-Liver,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens | Mus musculus,GPL16512,"Fah-/-, Il2rg-/-, Rag2-/-","(129Sv or hybrid 129Sv-C57BL/ 6j), (B6.129S4- Il2rgtm1Wjl/J), (RagN12)",h-Liver,SRA,Humanized liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15675780,,L17_Humanized control liver-ZT18
