gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5135695,Liver MPS co-culture tissue,Fat_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Fat_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5A5_D14_137_S22
GSM5135696,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Lean_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5B2_D14_140_S2
GSM5135697,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_TGF-B_Fructose_Cholesterol,,,NAFT18014_P5B5_D14_143_S5
GSM5135698,Liver MPS co-culture tissue,Reduced_NPC_Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean,SRA,Liver_MPS_Reduced_NPC_Lean,,,NAFT18015_P1B2_D14_152_S8
GSM5135699,Liver MPS co-culture tissue,Reduced_NPC_Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat,SRA,Liver_MPS_Reduced_NPC_Fat,,,NAFT18015_P1B5_D14_155_S11
GSM5135700,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS,SRA,Liver_MPS_Reduced_NPC_Lean_LPS,,,NAFT18015_P2A1_D14_157_S14
GSM5135701,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS,SRA,Liver_MPS_Reduced_NPC_Lean_LPS,,,NAFT18015_P2A3_D14_159_S17
GSM5135702,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS,SRA,Liver_MPS_Reduced_NPC_Fat_LPS,,,NAFT18015_P2A5_D14_161_S20
GSM5135703,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B,SRA,Liver_MPS_Reduced_NPC_Lean_TGF-B,,,NAFT18015_P2B1_D14_163_S23
GSM5135704,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_TGF-B,SRA,Liver_MPS_Reduced_NPC_Lean_TGF-B,,,NAFT18015_P2B3_D14_165_S3
GSM5135705,Liver MPS co-culture tissue,Reduced_NPC_Fat_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_TGF-B,SRA,Liver_MPS_Reduced_NPC_Fat_TGF-B,,,NAFT18015_P2B5_D14_167_S6
GSM5135706,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose,SRA,Liver_MPS_Reduced_NPC_Lean_Fructose,,,NAFT18015_P3A1_D14_169_S9
