gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9603113,liver,Control,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573679,,Control HepG2 48h replicate 1
GSM9603114,liver,Control,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573680,,Control HepG2 48h replicate 2
GSM9603115,liver,Control,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,Control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573681,,Control HepG2 48h replicate 3
GSM9603116,liver,palmitate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573682,,Palmitate-treated HepG2 48h replicate 1
GSM9603117,liver,palmitate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573683,,Palmitate-treated HepG2 48h replicate 2
GSM9603118,liver,palmitate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573684,,Palmitate-treated HepG2 48h replicate 3
GSM9603119,liver,palmitate + low sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + low sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573685,,IR + low Sodium butyrate HepG2 replicate 1
GSM9603120,liver,palmitate + low sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + low sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573686,,IR + low Sodium butyrate HepG2 replicate 2
GSM9603121,liver,palmitate + low sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + low sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573687,,IR + low Sodium butyrate HepG2 replicate 3
GSM9603122,liver,palmitate + medium sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + medium sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573688,,IR + medium Sodium butyrate HepG2 replicate 1
GSM9603123,liver,palmitate + medium sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + medium sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573689,,IR + medium Sodium butyrate HepG2 replicate 2
GSM9603124,liver,palmitate + medium sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + medium sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573690,,IR + medium Sodium butyrate HepG2 replicate 3
GSM9603125,liver,palmitate + high sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + high sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573691,,IR + high Sodium butyrate HepG2 replicate 1
GSM9603126,liver,palmitate + high sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + high sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573692,,IR + high Sodium butyrate HepG2 replicate 2
GSM9603127,liver,palmitate + high sodium butyrate,DNBSEQ-T7,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL29480,batch1,HepG2,hepatocellular carcinoma cell line,wild type,liver,palmitate + high sodium butyrate,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32573693,,IR + high Sodium butyrate HepG2 replicate 3
