gsm,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__donor id,raw__gender,raw__sampling,raw__timepoint,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6032989,Unknown,Liver,GFIPh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,24h,Liver,GFIPh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778874,,Liver PCLS GFIP 24h H26
GSM6032990,Unknown,Liver,GFIOh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,24h,Liver,GFIOh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778891,,Liver PCLS GFIO 24h H26
GSM6032991,Unknown,Liver,GFIPOh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,24h,Liver,GFIPOh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778892,,Liver PCLS GFIPO 24h H26
GSM6032992,Unknown,Liver,CTRh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,CTRh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778893,,Liver PCLS CTR 48h H26
GSM6032993,Unknown,Liver,Gh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,Gh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778894,,Liver PCLS G 48h H26
GSM6032994,Unknown,Liver,Fh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,Fh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778895,,Liver PCLS F 48h H26
GSM6032995,Unknown,Liver,GFh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,GFh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778896,,Liver PCLS GF 48h H26
GSM6032996,Unknown,Liver,GFIh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,GFIh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778897,,Liver PCLS GFI 48h H26
GSM6032997,Unknown,Liver,GFIPh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,GFIPh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778898,,Liver PCLS GFIP 48h H26
GSM6032998,Unknown,Liver,GFIOh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,GFIOh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778849,,Liver PCLS GFIO 48h H26
GSM6032999,Unknown,Liver,GFIPOh,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,H26,Unknown,Snap-frozen,48h,Liver,GFIPOh,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14778850,,Liver PCLS GFIPO 48h H26
