gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7730197,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466941,,Mutant _1
GSM7730198,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466942,,Mutant _2
GSM7730199,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466943,,Mutant_ 4
GSM7730200,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466944,,Mutant_FFA_1
GSM7730201,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466945,,Mutant_FFA_2
GSM7730202,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466946,,Mutant_FFA_3
GSM7730203,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466947,,Mutant_FFA_4
GSM7730204,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI mutant DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466948,,MSSSI_1
GSM7730205,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466949,,MSSSI_2
GSM7730206,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466950,,MSSSI_3
GSM7730207,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466951,,MSSSI_4
GSM7730208,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466952,,MSSSI_FFA_1
