gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7830541,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021595,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830541/suppl/GSM7830541_MM_454.sorted.bed.gz,"MM_454, snATACseq"
GSM7830542,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021601,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830542/suppl/GSM7830542_MM_455.sorted.bed.gz,"MM_455, snATACseq"
GSM7830543,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021602,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830543/suppl/GSM7830543_MM_456.sorted.bed.gz,"MM_456, snATACseq"
GSM7830544,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021603,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830544/suppl/GSM7830544_MM_467.sorted.bed.gz,"MM_467, snATACseq"
GSM7830545,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021604,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830545/suppl/GSM7830545_MM_468.sorted.bed.gz,"MM_468, snATACseq"
GSM7830546,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021605,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830546/suppl/GSM7830546_MM_469.sorted.bed.gz,"MM_469, snATACseq"
GSM7830547,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021606,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830547/suppl/GSM7830547_MM_470.sorted.bed.gz,"MM_470, snATACseq"
GSM7830548,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021607,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830548/suppl/GSM7830548_MM_471.sorted.bed.gz,"MM_471, snATACseq"
GSM7830549,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021612,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830549/suppl/GSM7830549_MM_472.sorted.bed.gz,"MM_472, snATACseq"
GSM7830550,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021613,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830550/suppl/GSM7830550_MM_473.sorted.bed.gz,"MM_473, snATACseq"
GSM7830551,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021614,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830551/suppl/GSM7830551_MM_474.sorted.bed.gz,"MM_474, snATACseq"
GSM7830552,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021615,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830552/suppl/GSM7830552_MM_475.sorted.bed.gz,"MM_475, snATACseq"
GSM7830553,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021616,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830553/suppl/GSM7830553_MM_476.sorted.bed.gz,"MM_476, snATACseq"
GSM7830554,liver,Illumina NovaSeq 6000,other,genomic,ATAC-seq,genomic DNA,Homo sapiens,GPL24676,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22021617,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7830nnn/GSM7830554/suppl/GSM7830554_MM_477.sorted.bed.gz,"MM_477, snATACseq"
