gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8260261,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,2,,,H3K27ac,1,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510433,,PNT686_nash_f1_H3K27ac_cutrun
GSM8260262,F,NAFL,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510458,,YDJ237_nafl_H3K27ac_cutrun
GSM8260263,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510459,,PFX974_nor_H3K27ac_cutrun
GSM8260264,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,2,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510460,,JWQ775_nash_f1_H3K27ac_cutrun
GSM8260265,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510461,,GDJ739_nafl_H3K27ac_cutrun
GSM8260266,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510462,,OKQ881_nor_H3K27ac_cutrun
GSM8260267,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510463,,LUH941_nafl_H3K27ac_cutrun
GSM8260268,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510464,,AUT782_nor_H3K27ac_cutrun
GSM8260269,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510465,,WLW163_nash_f0_H3K27ac_cutrun
GSM8260270,M,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F1,1,,,H3K27ac,1,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510466,,YSZ301_nash_f1_H3K27ac_cutrun
GSM8260271,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,2,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510467,,JUT827_nash_f0_H3K27ac_cutrun
GSM8260272,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510468,,BGB414_nor_H3K27ac_cutrun
GSM8260273,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510469,,MRA483_nafl_H3K27ac_cutrun
GSM8260274,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510470,,REI423_nor_H3K27ac_cutrun
GSM8260275,F,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510471,,TVO619_nash_f0_H3K27ac_cutrun
GSM8260276,M,NASH_F1,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F1,2,,,H3K27ac,1,,2,1,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510472,,JVQ477_nash_f1_H3K27ac_cutrun
GSM8260277,M,NASH_F23,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F23,1,,,H3K27ac,2,,2,1,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510473,,IQG997_nash_f23_H3K27ac_cutrun
GSM8260278,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510474,,RFN819_nor_H3K27ac_cutrun
GSM8260279,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510475,,ABJ468_nafl_H3K27ac_cutrun
GSM8260280,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,1,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510476,,YHB234_nash_f1_H3K27ac_cutrun
GSM8260281,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510477,,GBP913_nor_H3K27ac_cutrun
GSM8260282,M,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510478,,YMK964_nash_f0_H3K27ac_cutrun
GSM8260283,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510479,,TLT507_nafl_H3K27ac_cutrun
GSM8260284,M,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F23,2,,,H3K27ac,3,,2,1,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510480,,XSP436_nash_f23_H3K27ac_cutrun
GSM8260285,F,NAFL,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510481,,NIV336_nafl_H3K27ac_cutrun
GSM8260286,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510434,,HNK873_nor_H3K27ac_cutrun
GSM8260287,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,2,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510435,,UXJ402_nash_f1_H3K27ac_cutrun
GSM8260288,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510436,,JNK936_nafl_H3K27ac_cutrun
GSM8260289,F,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,2,1,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510437,,HPF205_nash_f0_H3K27ac_cutrun
GSM8260290,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,2,,,H3K27ac,1,,2,1,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510438,,UDF695_nash_f1_H3K27ac_cutrun
GSM8260291,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510439,,GNI484_nafl_H3K27ac_cutrun
GSM8260292,F,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510440,,OUX828_nash_f0_H3K27ac_cutrun
GSM8260293,F,NASH_F23,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,2,,,H3K27ac,3,,2,2,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510441,,PXJ190_nash_f23_H3K27ac_cutrun
GSM8260294,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510442,,LOT902_nor_H3K27ac_cutrun
GSM8260295,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510443,,UIX583_nafl_H3K27ac_cutrun
GSM8260296,F,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510444,,CMW958_nash_f1_H3K27ac_cutrun
GSM8260297,F,NASH_F23,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,1,,,H3K27ac,2,,2,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510445,,WZG609_nash_f23_H3K27ac_cutrun
GSM8260298,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510446,,QTT156_nafl_H3K27ac_cutrun
GSM8260299,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510447,,KFZ933_nor_H3K27ac_cutrun
GSM8260300,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510448,,ALF449_nafl_H3K27ac_cutrun
GSM8260301,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510449,,WNN537_nafl_H3K27ac_cutrun
GSM8260302,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,2,0,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510450,,ASX665_nash_f0_H3K27ac_cutrun
GSM8260303,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510451,,RYZ258_nafl_H3K27ac_cutrun
GSM8260304,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510452,,LUK585_nor_H3K27ac_cutrun
GSM8260305,F,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510453,,CVW854_nash_f0_H3K27ac_cutrun
GSM8260306,F,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,1,,,H3K27ac,2,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510454,,ALD943_nash_f23_H3K27ac_cutrun
GSM8260307,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510455,,YJW923_nor_H3K27ac_cutrun
GSM8260308,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510456,,NWX937_nafl_H3K27ac_cutrun
GSM8260309,F,NASH_F1,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,2,,,H3K27ac,1,,2,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510457,,JDH172_nash_f1_H3K27ac_cutrun
GSM8260310,M,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510482,,EJV194_nash_f0_H3K27ac_cutrun
GSM8260311,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,1,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510483,,QDY893_nafl_H3K27ac_cutrun
GSM8260312,F,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,2,,,H3K27ac,3,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510484,,DNM623_nash_f23_H3K27ac_cutrun
GSM8260313,,,,liver,no treatment,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510377,,HSC001_H3K27ac_R1
GSM8260314,,,,liver,no treatment,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510378,,HSC001_H3K27ac_R2
GSM8260315,,,,liver,no treatment,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,no treatment,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510379,,HSC001_H3K27ac_R3
GSM8260316,,,,liver,HSC electroporoated with non-targeting gRNA,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporoated with non-targeting gRNA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510380,,HSC131_hNTO_H3K27ac_R1
GSM8260317,,,,liver,HSC electroporoated with non-targeting gRNA,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporoated with non-targeting gRNA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510381,,HSC131_hNTO_H3K27ac_R2
GSM8260318,,,,liver,HSC electroporoated with non-targeting gRNA,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporoated with non-targeting gRNA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510382,,HSC131_hNTO_H3K27ac_R3
GSM8260319,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510383,,HSC131_ZNF469_H3K27ac_R1
GSM8260320,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510384,,HSC131_ZNF469_H3K27ac_R2
GSM8260321,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,H3K27ac,,,,,,liver,HSC electroporated with a pooled set of guide RNAs targeting ZNF469 gene,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510385,,HSC131_ZNF469_H3K27ac_R3
GSM8260322,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510622,,HSC131_ZNFAb_hNTO_R1
GSM8260323,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510623,,HSC131_ZNFAb_hNTO_R2
GSM8260324,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510624,,HSC131_ZNFAb_hNTO_R3
GSM8260325,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510625,,HSC131_ZNF469_ZNFAb_R1
GSM8260326,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510626,,HSC131_ZNF469_ZNFAb_R2
GSM8260327,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,HSC,,ZNF469,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510627,,HSC131_ZNF469_ZNFAb_R3
GSM8260328,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509993,,ZNF469_clone3.1_ZNF469_dZF_DOX_rep1
GSM8260329,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509994,,ZNF469_clone3.1_ZNF469_dZF_DOX_rep2
GSM8260330,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509995,,ZNF469_clone3.1_ZNF469_dZF_DOX_rep3
GSM8260331,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509996,,ZNF469_clone3.4_ZNF469_DOX_rep1
GSM8260332,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509997,,ZNF469_clone3.4_ZNF469_DOX_rep2
GSM8260333,,,,,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,,,,LX2,,ZNF469,,,,,,,,SRA,LX2,https://www.ncbi.nlm.nih.gov/sra?term=SRX24509998,,ZNF469_clone3.4_ZNF469_DOX_rep3
GSM8260334,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510632,,FFD_mouse_R1
GSM8260335,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510633,,FFD_mouse_R2
GSM8260336,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510634,,FFD_mouse_R3
GSM8260337,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510635,,FFD_mouse_R4
GSM8260338,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510636,,FFD_mouse_R5
GSM8260339,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510637,,FFD_mouse_R6
GSM8260340,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510638,,FFD_mouse_R7
GSM8260341,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510639,,FFD_mouse_R8
GSM8260342,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510640,,FFD_mouse_R9
GSM8260343,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510641,,FFD_mouse_R10
GSM8260344,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510642,,FFD_mouse_R11
GSM8260345,,,,Liver,high fat diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,high fat diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510643,,FFD_mouse_R12
GSM8260346,,,,Liver,control diet,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Mus musculus,GPL24247,,,,,,,,,,,,Liver,control diet,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510644,,FFD_Ctrl_mouse_R1
