gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8257208,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488343,,HSC001_HOXB4_12day_R2
GSM8257209,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488344,,HSC001_HOXB4_12day_R3
GSM8257210,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488345,,HSC001_MEF2D_12day_R1
GSM8257211,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488346,,HSC001_MEF2D_12day_R2
GSM8257212,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488347,,HSC001_MEF2D_12day_R3
GSM8257213,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488348,,HSC001_MSC_12day_R1
GSM8257214,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488349,,HSC001_MSC_12day_R2
GSM8257215,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488350,,HSC001_MSC_12day_R3
GSM8257216,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488351,,HSC001_RFX5_12day_R1
GSM8257217,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488352,,HSC001_RFX5_12day_R2
GSM8257218,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488353,,HSC001_RFX5_12day_R3
GSM8257219,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488354,,HSC001_TBX3_12day_R1
GSM8257220,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488355,,HSC001_TBX3_12day_R2
GSM8257221,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488356,,HSC001_TBX3_12day_R3
GSM8257222,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488357,,HSC001_TEAD3_12day_R1
GSM8257223,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488358,,HSC001_TEAD3_12day_R2
GSM8257224,,,,,,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,,,,HSC,,,,,,,,,,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488359,,HSC001_TEAD3_12day_R3
GSM8260214,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510386,,END612_nor_H3K27ac_cutrun
GSM8260215,F,NAFL,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510387,,YOX147_nafl_H3K27ac_cutrun
GSM8260216,M,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510388,,DNL679_nash_f0_H3K27ac_cutrun
GSM8260217,F,NASH_F0,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,1,,,H3K27ac,0,,2,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510389,,KQF393_nash_f0_H3K27ac_cutrun
GSM8260218,F,NASH_F23,2,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,1,,,H3K27ac,2,,1,0,2,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510390,,YNE987_nash_f23_H3K27ac_cutrun
GSM8260219,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510391,,RJR816_nor_H3K27ac_cutrun
GSM8260220,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510392,,LAH821_nafl_H3K27ac_cutrun
