gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__pathology,sample_type,source_name,sra_relation,supplementary_files,title
GSM6731263,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,Normal,SRA,NK cells from subject 1,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259680,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731263/suppl/GSM6731263_hNK1_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731263/suppl/GSM6731263_hNK1_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731263/suppl/GSM6731263_hNK1_matrix.mtx.gz,hNK1
GSM6731264,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,HCV,SRA,NK cells from subject 2,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259681,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731264/suppl/GSM6731264_hNK2_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731264/suppl/GSM6731264_hNK2_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731264/suppl/GSM6731264_hNK2_matrix.mtx.gz,hNK2
GSM6731265,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,Normal,SRA,NK cells from subject 3,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259682,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731265/suppl/GSM6731265_hNK3_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731265/suppl/GSM6731265_hNK3_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731265/suppl/GSM6731265_hNK3_matrix.mtx.gz,hNK3
GSM6731266,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,Normal,SRA,NK cells from subject 4,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259683,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731266/suppl/GSM6731266_hNK4_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731266/suppl/GSM6731266_hNK4_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731266/suppl/GSM6731266_hNK4_matrix.mtx.gz,hNK4
GSM6731267,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,Normal,SRA,NK cells from subject 5,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259684,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731267/suppl/GSM6731267_hNK5_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731267/suppl/GSM6731267_hNK5_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731267/suppl/GSM6731267_hNK5_matrix.mtx.gz,hNK5
GSM6731268,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,HCV,SRA,NK cells from subject 6,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259685,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731268/suppl/GSM6731268_hNK6_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731268/suppl/GSM6731268_hNK6_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731268/suppl/GSM6731268_hNK6_matrix.mtx.gz,hNK6
GSM6731269,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,HCV,SRA,NK cells from subject 7,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259686,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731269/suppl/GSM6731269_hNK7_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731269/suppl/GSM6731269_hNK7_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731269/suppl/GSM6731269_hNK7_matrix.mtx.gz,hNK7
GSM6731270,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,HCV,SRA,NK cells from subject 8,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259687,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731270/suppl/GSM6731270_hNK8_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731270/suppl/GSM6731270_hNK8_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731270/suppl/GSM6731270_hNK8_matrix.mtx.gz,hNK8
GSM6731271,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,PSC,SRA,NK cells from subject 9,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259688,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731271/suppl/GSM6731271_hNK9_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731271/suppl/GSM6731271_hNK9_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731271/suppl/GSM6731271_hNK9_matrix.mtx.gz,hNK9
GSM6731272,Illumina NextSeq 500,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL18573,NK,PSC,SRA,NK cells from subject 10,https://www.ncbi.nlm.nih.gov/sra?term=SRX18259689,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731272/suppl/GSM6731272_hNK10_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731272/suppl/GSM6731272_hNK10_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6731nnn/GSM6731272/suppl/GSM6731272_hNK10_matrix.mtx.gz,hNK10
