gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__sample type,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM6346010,liver | PRE,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,PRE,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318975,,PT 5 I
GSM6346011,liver | POST,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,POST,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318976,,PT 5 II re LL
GSM6346012,liver | PRE,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,PRE,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318977,,PT 8 I re LL
GSM6346013,liver | POST,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,POST,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318978,,PT 8 II li LL
GSM6346014,liver | PRE,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,PRE,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318979,,PT 10 I li LL
GSM6346015,liver | POST,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,POST,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318980,,PT 10 II re LL
GSM6346016,liver | PRE,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,PRE,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318981,,PT 13 I re LL
GSM6346017,liver | POST,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,POST,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318982,,PT 13 II li LL
GSM6346018,liver | PRE,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,PRE,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318983,,PT 15 I re LL
GSM6346019,liver | POST,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,POST,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX16318984,,PT 15 II li LL
