gsm,canon__age,canon__sex,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__diet,raw__drug treatment,raw__genotype,raw__strain,raw__streptozotocin treatment,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7865210,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224818,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 1"
GSM7865211,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224819,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 2"
GSM7865212,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224820,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 3"
GSM7865213,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224821,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 4"
GSM7865214,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224822,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 5"
GSM7865215,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224823,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 3, biological replication 6"
GSM7865216,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224824,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 1"
GSM7865217,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224825,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 2"
GSM7865218,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224826,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 3"
GSM7865219,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224827,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 4"
GSM7865220,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224828,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 5"
GSM7865221,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224829,,"NAFLD patient, NAFLD activity score 4-7, fibrosis stage 4, biological replication 6"
GSM8191460,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191423,,"HFD fed mice without STZ treatment, 32w, batch 9, biological replication 1"
GSM8191461,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191424,,"HFD fed mice without STZ treatment, 32w, batch 9, biological replication 2"
GSM8191462,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191425,,"HFD fed mice without STZ treatment, 32w, batch 9, biological replication 3"
GSM8191463,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191426,,"Control SCD fed mice without STZ treatment, 32w, batch 9, biological replication 1"
GSM8191464,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191427,,"Control SCD fed mice without STZ treatment, 32w, batch 9, biological replication 2"
GSM8191465,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191428,,"Control SCD fed mice without STZ treatment, 32w, batch 9, biological replication 3"
GSM8191466,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Untreated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191429,,"Control SCD fed mice without STZ treatment, 32w, batch 9, biological replication 4"
GSM8191467,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191430,,"STZ+ SCD mice, 32w, batch 9, biological replication 1"
GSM8191468,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191431,,"STZ+ SCD mice, 32w, batch 9, biological replication 2"
GSM8191469,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,SCD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24191432,,"STZ+ SCD mice, 32w, batch 9, biological replication 3"
