gsm,canon__age,canon__sex,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__diet,raw__drug treatment,raw__genotype,raw__strain,raw__streptozotocin treatment,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7865153,26 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,26 weeks,"HFD for 12 weeks, then changed to SCD for 6 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224851,,"STZ+HFD model, 26w, dietary change to SCD for 6 weeks, biological replication 2"
GSM7865154,26 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,26 weeks,"HFD for 12 weeks, then changed to SCD for 6 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224852,,"STZ+HFD model, 26w, dietary change to SCD for 6 weeks, biological replication 3"
GSM7865155,26 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,26 weeks,"HFD for 12 weeks, then changed to SCD for 6 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224853,,"STZ+HFD model, 26w, dietary change to SCD for 6 weeks, biological replication 4"
GSM7865156,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224786,,"STZ+HFD model, 50w, without dietary intervention, biological replication 1"
GSM7865157,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224787,,"STZ+HFD model, 50w, without dietary intervention, biological replication 2"
GSM7865158,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224788,,"STZ+HFD model, 50w, without dietary intervention, biological replication 3"
GSM7865159,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,HFD,Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224789,,"STZ+HFD model, 50w, without dietary intervention, biological replication 4"
GSM7865160,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,"HFD for 24 weeks, then changed to SCD for 18 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224790,,"STZ+HFD model, 50w, dietary change to SCD for 18 weeks, biological replication 1"
GSM7865161,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,"HFD for 24 weeks, then changed to SCD for 18 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224791,,"STZ+HFD model, 50w, dietary change to SCD for 18 weeks, biological replication 2"
GSM7865162,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,"HFD for 24 weeks, then changed to SCD for 18 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224792,,"STZ+HFD model, 50w, dietary change to SCD for 18 weeks, biological replication 3"
