gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6041933,liver,Ctrl (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Ctrl (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833631,,SH1056:1A Ctrl (10% serum)
GSM6041934,liver,rec hGREM1 (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,rec hGREM1 (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833632,,SH1056:2A rec hGREM1 (10% serum)
GSM6041935,liver,Ctrl (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Ctrl (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833633,,SH1056:1B Ctrl (10% serum)
GSM6041936,liver,rec hGREM1 (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,rec hGREM1 (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833634,,SH1056:2B rec hGREM1 (10% serum)
GSM6041937,liver,Ctrl (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Ctrl (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833635,,SH1057:1C Ctrl (10% serum)
GSM6041938,liver,rec hGREM1 (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,rec hGREM1 (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833636,,SH1057:2C rec hGREM1 (10% serum)
GSM6041939,liver,Ctrl (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,Ctrl (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833637,,SH1057:1D Ctrl (10% serum)
GSM6041940,liver,rec hGREM1 (10% serum),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,immortalized human hepatocytes (IHH),hepatocytes,WT,liver,rec hGREM1 (10% serum),SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX14833638,,SH1057:2D rec hGREM1 (10% serum)
