gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9916831,cell culture,"shANKRD52, treatment",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"shANKRD52, treatment",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563676,,shANKRD52
GSM9916832,cell culture,"shNC, control",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"shNC, control",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563677,,shNC
GSM9916833,cell culture,"siANKRD52, treatment",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"siANKRD52, treatment",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563678,,siANKRD52_1
GSM9916834,cell culture,"siANKRD52, treatment",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"siANKRD52, treatment",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563679,,siANKRD52_2
GSM9916835,cell culture,"siNC, control",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"siNC, control",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563680,,siNC_1
GSM9916836,cell culture,"siNC, control",Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Hep3b,cell culture,"siNC, control",SRA,cell culture,https://www.ncbi.nlm.nih.gov/sra?term=SRX34563681,,siNC_2
