gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8460945,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Wild type,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711613,,20073X1 EPHB2-WT-1
GSM8460946,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Wild type,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711614,,20073X2 EPHB2-WT-2
GSM8460947,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Wild type,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711615,,20073X3 EPHB2-WT-3
GSM8460948,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Knock out,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711616,,20073X4 EPHB2-KO-1
GSM8460949,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Knock out,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711617,,20073X5 EPHB2-KO-2
GSM8460950,Liver,TGF-b1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Primary cell,Hepatic Stellate cells,Knock out,Liver,TGF-b1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25711618,,20073X6 EPHB2-KO-3
