gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__time,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6322568,Human liver organoid (HLO),None,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 21,Human liver organoid (HLO),None,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114846,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322568/suppl/GSM6322568_AmA-45_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322568/suppl/GSM6322568_AmA-45_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322568/suppl/GSM6322568_AmA-45_matrix.mtx.gz,"Day 21 ULA-HLOs, replicate 1, scRNAseq"
GSM6322569,Human liver organoid (HLO),None,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 21,Human liver organoid (HLO),None,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114847,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322569/suppl/GSM6322569_AmA-46_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322569/suppl/GSM6322569_AmA-46_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322569/suppl/GSM6322569_AmA-46_matrix.mtx.gz,"Day 21 ULA-HLOs, replicate 2, scRNAseq"
GSM6322570,Human liver organoid (HLO),None,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 21,Human liver organoid (HLO),None,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114848,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322570/suppl/GSM6322570_AmA-47_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322570/suppl/GSM6322570_AmA-47_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322570/suppl/GSM6322570_AmA-47_matrix.mtx.gz,"Day 21 ULA-HLOs, replicate 3, scRNAseq"
GSM6322571,Human liver organoid (HLO),None,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 34,Human liver organoid (HLO),None,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114849,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322571/suppl/GSM6322571_AmA-48_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322571/suppl/GSM6322571_AmA-48_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322571/suppl/GSM6322571_AmA-48_matrix.mtx.gz,"Day 34 ULA-HLOs, replicate 1, scRNAseq"
GSM6322572,Human liver organoid (HLO),None,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 34,Human liver organoid (HLO),None,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114850,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322572/suppl/GSM6322572_AmA-49_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322572/suppl/GSM6322572_AmA-49_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322572/suppl/GSM6322572_AmA-49_matrix.mtx.gz,"Day 34 ULA-HLOs, replicate 2, scRNAseq"
GSM6322573,Human liver organoid (HLO),Control-TGFB1,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 25,Human liver organoid (HLO),Control-TGFB1,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114851,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322573/suppl/GSM6322573_AmA-50_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322573/suppl/GSM6322573_AmA-50_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322573/suppl/GSM6322573_AmA-50_matrix.mtx.gz,"Control-for-TGFB1 day 25 OS-HLOs, replicate 1, scRNAseq"
GSM6322574,Human liver organoid (HLO),Control-TGFB1,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 25,Human liver organoid (HLO),Control-TGFB1,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114852,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322574/suppl/GSM6322574_AmA-51_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322574/suppl/GSM6322574_AmA-51_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322574/suppl/GSM6322574_AmA-51_matrix.mtx.gz,"Control-for-TGFB1 day 25 OS-HLOs, replicate 2, scRNAseq"
GSM6322575,Human liver organoid (HLO),TGF-B1 10 ng/ml,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 25,Human liver organoid (HLO),TGF-B1 10 ng/ml,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114853,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322575/suppl/GSM6322575_AmA-52_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322575/suppl/GSM6322575_AmA-52_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322575/suppl/GSM6322575_AmA-52_matrix.mtx.gz,"TGFB1-10ng/ml treated day 25 OS-HLOs, replicate 1, scRNAseq"
GSM6322576,Human liver organoid (HLO),TGF-B1 10 ng/ml,NextSeq 2000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL30173,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 25,Human liver organoid (HLO),TGF-B1 10 ng/ml,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114854,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322576/suppl/GSM6322576_AmA-53_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322576/suppl/GSM6322576_AmA-53_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322576/suppl/GSM6322576_AmA-53_matrix.mtx.gz,"TGFB1-10ng/ml treated day 25 OS-HLOs, replicate 2, scRNAseq"
GSM6322577,Human liver organoid (HLO),Control-PA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,total RNA,Homo sapiens,GPL24676,"W01, WiCell",hPSC-derived HLOs,Wild-type,day 25,Human liver organoid (HLO),Control-PA,SRA,Human liver organoid (HLO),https://www.ncbi.nlm.nih.gov/sra?term=SRX16114855,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322577/suppl/GSM6322577_SM-KBV62_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322577/suppl/GSM6322577_SM-KBV62_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6322nnn/GSM6322577/suppl/GSM6322577_SM-KBV62_matrix.mtx.gz,"Control-for-PA day 25 OS-HLOs, replicate 1, scRNAseq"
