gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8314649,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829259,,KYL112
GSM8314650,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829265,,YYD440
GSM8314651,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829193,,MRA483
GSM8314652,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829194,,YJW923
GSM8314653,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829221,,RJR816
GSM8314654,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829238,,JDH172
GSM8314655,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829249,,ZOD891
GSM8314656,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829316,,OKQ881
GSM8314657,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829327,,KFZ933
GSM8314658,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829254,,KCX451
GSM8314659,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829346,,OXX116
GSM8314660,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829276,,ROL427
GSM8314661,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829195,,LMT575
GSM8314662,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829290,,SEG748
GSM8314663,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829301,,HKD846
GSM8314664,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24829379,,QCX420
