gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7729577,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,DMSO,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455953,,"311E, DMSO 96hr bio rep 1"
GSM7729578,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,DMSO,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455954,,"311E, DMSO 96hr bio rep 2"
GSM7729579,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,DMSO,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455955,,"311E, DMSO 96hr bio rep 3"
GSM7729580,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455956,,"311E, 1uM taz 96hr bio rep 1"
GSM7729581,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455957,,"311E, 1uM taz 96hr bio rep 2"
GSM7729582,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455958,,"311E, 1uM taz 96hr bio rep 3"
GSM7729583,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV075,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455959,,"311E, 9nM ABBV075 96hr bio rep 1"
GSM7729584,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV076,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455960,,"311E, 9nM ABBV075 96hr bio rep 2"
GSM7729585,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV077,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455961,,"311E, 9nM ABBV075 96hr bio rep 3"
GSM7729586,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV075 + 1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455962,,"311E,1uM taz + 9nM ABBV075 96hr bio rep 1"
