gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7729587,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV075 + 1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455963,,"311E,1uM taz + 9nM ABBV075 96hr bio rep 2"
GSM7729588,311E cell line,96hr,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,9nM ABBV075 + 1uM tazemetostat,311E cell line,96hr,SRA,311E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455964,,"311E,1uM taz + 9nM ABBV075 96hr bio rep 3"
GSM7729589,317E cell line,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,n/a,317E cell line,n/a,SRA,317E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455965,,317E cell line bio rep 1
GSM7729590,317E cell line,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,n/a,317E cell line,n/a,SRA,317E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455966,,317E cell line bio rep 2
GSM7729591,317E cell line,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,"GEMM, esophagus mNC tumor",BRD4-NUTM1,n/a,317E cell line,n/a,SRA,317E cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455967,,317E cell line bio rep 3
GSM7729592,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,fresh GEMM tumor tissue from which 311E cell line was derived,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455968,,311E tumor tissue
GSM7729593,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,fresh GEMM tumor tissue from which 317E cell line was derived,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455969,,317E tumor tissue
GSM7729594,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,SOX2-/-BRD4-NUTM1+/- esophgeal mucosa fresh tissue,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455970,,GEMM control tissue #1
GSM7729595,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,SOX2-/-BRD4-NUTM1+/- esophgeal mucosa fresh tissue,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455971,,GEMM control tissue #2
GSM7729596,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,SOX2-/-BRD4-NUTM1+/- esophgeal mucosa fresh tissue,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455972,,GEMM control tissue #3
GSM7729597,n/a,n/a,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,pleural fluid,BRD4-NUTM1,n/a,n/a,n/a,SRA,n/a,https://www.ncbi.nlm.nih.gov/sra?term=SRX21455973,,28284 pleural
