gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7852810,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164058,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852810/suppl/GSM7852810_1-1-IMC_S1_quant.sf.gz,PCLS_IMC_1
GSM7852811,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164059,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852811/suppl/GSM7852811_1-2-aG1_S2_quant.sf.gz,PCLS_aG1_1
GSM7852812,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164060,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852812/suppl/GSM7852812_2-1-IMC_S3_quant.sf.gz,PCLS_IMC_2
GSM7852813,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164061,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852813/suppl/GSM7852813_2-2-aG1_S4_quant.sf.gz,PCLS_aG1_2
GSM7852814,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164062,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852814/suppl/GSM7852814_3-1-IMC_S5_quant.sf.gz,PCLS_IMC_3
GSM7852815,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164063,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852815/suppl/GSM7852815_3-2-aG1_S6_quant.sf.gz,PCLS_aG1_3
GSM7852816,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164064,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852816/suppl/GSM7852816_4-1-IMC_S7_quant.sf.gz,PCLS_IMC_4
GSM7852817,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164065,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852817/suppl/GSM7852817_4-2-aG1_S8_quant.sf.gz,PCLS_aG1_4
GSM7852818,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164066,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852818/suppl/GSM7852818_5-1-IMC_S9_quant.sf.gz,PCLS_IMC_5
GSM7852819,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164067,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852819/suppl/GSM7852819_5-2-aG1_S10_quant.sf.gz,PCLS_aG1_5
GSM7852820,Liver,Isotype control Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,Isotype control Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164068,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852820/suppl/GSM7852820_6-1-IMC_S11_quant.sf.gz,PCLS_IMC_6
GSM7852821,Liver,anti-Gremlin-1 Ab,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL18573,Liver,anti-Gremlin-1 Ab,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22164069,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7852nnn/GSM7852821/suppl/GSM7852821_6-2-aG1_S12_quant.sf.gz,PCLS_aG1_6
