gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__hepatic zone,raw__isolation,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM2819664,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298666,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819664/suppl/GSM2819664_PP_7137_343.MCSv3.20170201.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819664/suppl/GSM2819664_PP_7137_343.MCSv3.20170201.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819664/suppl/GSM2819664_PP_7137_343.MCSv3.20170201.hs37.cpg.filtered.CG.ct_coverage.bw,7137_PP_RRBS
GSM2819665,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298667,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819665/suppl/GSM2819665_PP_7157_346.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819665/suppl/GSM2819665_PP_7157_346.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819665/suppl/GSM2819665_PP_7157_346.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7157_PP_RRBS
GSM2819666,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298668,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819666/suppl/GSM2819666_PP_7172_374.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819666/suppl/GSM2819666_PP_7172_374.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819666/suppl/GSM2819666_PP_7172_374.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7172_PP_RRBS
GSM2819667,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298669,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819667/suppl/GSM2819667_PP_7173_349.MCSv3.20170201.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819667/suppl/GSM2819667_PP_7173_349.MCSv3.20170201.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819667/suppl/GSM2819667_PP_7173_349.MCSv3.20170201.hs37.cpg.filtered.CG.ct_coverage.bw,7173_PP_RRBS
GSM2819668,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298670,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819668/suppl/GSM2819668_PP_7181_352.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819668/suppl/GSM2819668_PP_7181_352.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819668/suppl/GSM2819668_PP_7181_352.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7181_PP_RRBS
GSM2819669,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298671,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819669/suppl/GSM2819669_PP_7188_359.MCSv3.20170201.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819669/suppl/GSM2819669_PP_7188_359.MCSv3.20170201.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819669/suppl/GSM2819669_PP_7188_359.MCSv3.20170201.hs37.cpg.filtered.CG.ct_coverage.bw,7188_PP_RRBS
GSM2819670,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298672,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819670/suppl/GSM2819670_PP_7194_362.MCSv3.20170201.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819670/suppl/GSM2819670_PP_7194_362.MCSv3.20170201.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819670/suppl/GSM2819670_PP_7194_362.MCSv3.20170201.hs37.cpg.filtered.CG.ct_coverage.bw,7194_PP_RRBS
GSM2819671,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298673,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819671/suppl/GSM2819671_PP_7213_394.MCSv3.20170228.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819671/suppl/GSM2819671_PP_7213_394.MCSv3.20170228.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819671/suppl/GSM2819671_PP_7213_394.MCSv3.20170228.hs37.cpg.filtered.CG.ct_coverage.bw,7213_PP_RRBS
GSM2819672,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298674,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819672/suppl/GSM2819672_PP_7230_397.MCSv3.20170228.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819672/suppl/GSM2819672_PP_7230_397.MCSv3.20170228.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819672/suppl/GSM2819672_PP_7230_397.MCSv3.20170228.hs37.cpg.filtered.CG.ct_coverage.bw,7230_PP_RRBS
GSM2819673,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298675,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819673/suppl/GSM2819673_PP_7251_400.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819673/suppl/GSM2819673_PP_7251_400.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819673/suppl/GSM2819673_PP_7251_400.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7251_PP_RRBS
GSM2819674,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298676,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819674/suppl/GSM2819674_PP_7252_403.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819674/suppl/GSM2819674_PP_7252_403.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819674/suppl/GSM2819674_PP_7252_403.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7252_PP_RRBS
GSM2819675,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298677,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819675/suppl/GSM2819675_PP_7279_406.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819675/suppl/GSM2819675_PP_7279_406.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819675/suppl/GSM2819675_PP_7279_406.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7279_PP_RRBS
GSM2819676,liver,Illumina HiSeq 2500,Reduced Representation,genomic,Bisulfite-Seq,genomic DNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298678,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819676/suppl/GSM2819676_PP_7344_409.MCSv3.20170419.hs37.cpg.filtered.CG.bed.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819676/suppl/GSM2819676_PP_7344_409.MCSv3.20170419.hs37.cpg.filtered.CG.bw | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819676/suppl/GSM2819676_PP_7344_409.MCSv3.20170419.hs37.cpg.filtered.CG.ct_coverage.bw,7344_PP_RRBS
GSM2819677,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298679,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819677/suppl/GSM2819677_CV_6610_RNA.coverage.bw,6610_CV_RNA
GSM2819678,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298680,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819678/suppl/GSM2819678_CV_6758_RNA.coverage.bw,6758_CV_RNA
GSM2819679,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298681,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819679/suppl/GSM2819679_CV_6922_RNA.coverage.bw,6922_CV_RNA
GSM2819680,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298682,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819680/suppl/GSM2819680_CV_6967_RNA.coverage.bw,6967_CV_RNA
GSM2819681,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298683,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819681/suppl/GSM2819681_CV_7012_RNA.coverage.bw,7012_CV_RNA
GSM2819682,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298684,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819682/suppl/GSM2819682_CV_7041_RNA.coverage.bw,7041_CV_RNA
GSM2819683,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298685,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819683/suppl/GSM2819683_CV_7137_RNA.coverage.bw,7137_CV_RNA
GSM2819684,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298686,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819684/suppl/GSM2819684_CV_7157_RNA.coverage.bw,7157_CV_RNA
GSM2819685,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298687,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819685/suppl/GSM2819685_CV_7172_RNA.coverage.bw,7172_CV_RNA
GSM2819686,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298688,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819686/suppl/GSM2819686_CV_7173_RNA.coverage.bw,7173_CV_RNA
GSM2819687,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298689,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819687/suppl/GSM2819687_CV_7181_RNA.coverage.bw,7181_CV_RNA
GSM2819688,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298690,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819688/suppl/GSM2819688_CV_7188_RNA.coverage.bw,7188_CV_RNA
GSM2819689,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298691,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819689/suppl/GSM2819689_CV_7194_RNA.coverage.bw,7194_CV_RNA
GSM2819690,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298692,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819690/suppl/GSM2819690_CV_7213_RNA.coverage.bw,7213_CV_RNA
GSM2819691,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298693,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819691/suppl/GSM2819691_CV_7230_RNA.coverage.bw,7230_CV_RNA
GSM2819692,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298694,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819692/suppl/GSM2819692_CV_7251_RNA.coverage.bw,7251_CV_RNA
GSM2819693,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298695,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819693/suppl/GSM2819693_CV_7252_RNA.coverage.bw,7252_CV_RNA
GSM2819694,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298696,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819694/suppl/GSM2819694_CV_7279_RNA.coverage.bw,7279_CV_RNA
GSM2819695,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,pericentral (CV),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298697,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819695/suppl/GSM2819695_CV_7344_RNA.coverage.bw,7344_CV_RNA
GSM2819696,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298698,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819696/suppl/GSM2819696_IZ_6610_RNA.coverage.bw,6610_IZ_RNA
GSM2819697,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298699,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819697/suppl/GSM2819697_IZ_6758_RNA.coverage.bw,6758_IZ_RNA
GSM2819698,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298700,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819698/suppl/GSM2819698_IZ_6922_RNA.coverage.bw,6922_IZ_RNA
GSM2819699,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298701,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819699/suppl/GSM2819699_IZ_6967_RNA.coverage.bw,6967_IZ_RNA
GSM2819700,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298702,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819700/suppl/GSM2819700_IZ_7012_RNA.coverage.bw,7012_IZ_RNA
GSM2819701,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298703,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819701/suppl/GSM2819701_IZ_7041_RNA.coverage.bw,7041_IZ_RNA
GSM2819702,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298704,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819702/suppl/GSM2819702_IZ_7137_RNA.coverage.bw,7137_IZ_RNA
GSM2819703,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298705,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819703/suppl/GSM2819703_IZ_7157_RNA.coverage.bw,7157_IZ_RNA
GSM2819704,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298706,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819704/suppl/GSM2819704_IZ_7172_RNA.coverage.bw,7172_IZ_RNA
GSM2819705,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298707,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819705/suppl/GSM2819705_IZ_7173_RNA.coverage.bw,7173_IZ_RNA
GSM2819706,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298708,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819706/suppl/GSM2819706_IZ_7181_RNA.coverage.bw,7181_IZ_RNA
GSM2819707,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298709,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819707/suppl/GSM2819707_IZ_7188_RNA.coverage.bw,7188_IZ_RNA
GSM2819708,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298710,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819708/suppl/GSM2819708_IZ_7194_RNA.coverage.bw,7194_IZ_RNA
GSM2819709,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298711,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819709/suppl/GSM2819709_IZ_7213_RNA.coverage.bw,7213_IZ_RNA
GSM2819710,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298712,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819710/suppl/GSM2819710_IZ_7230_RNA.coverage.bw,7230_IZ_RNA
GSM2819711,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298713,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819711/suppl/GSM2819711_IZ_7251_RNA.coverage.bw,7251_IZ_RNA
GSM2819712,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298714,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819712/suppl/GSM2819712_IZ_7252_RNA.coverage.bw,7252_IZ_RNA
GSM2819713,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298715,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819713/suppl/GSM2819713_IZ_7279_RNA.coverage.bw,7279_IZ_RNA
GSM2819714,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,intermediate (IZ),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298716,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819714/suppl/GSM2819714_IZ_7344_RNA.coverage.bw,7344_IZ_RNA
GSM2819715,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298717,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819715/suppl/GSM2819715_PP_6610_RNA.coverage.bw,6610_PP_RNA
GSM2819716,liver,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,periportal (PP),laser capture microdissection,liver,SRA,hepatocytes,https://www.ncbi.nlm.nih.gov/sra?term=SRX3298718,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2819nnn/GSM2819716/suppl/GSM2819716_PP_6758_RNA.coverage.bw,6758_PP_RNA
