gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__digestion method,raw__number of added abs,raw__number of cells,raw__platform,raw__shortfilename,raw__strain,sample_type,source_name,sra_relation,supplementary_files,title
GSM5764384,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,11503,10x Genomics – v3,CS85,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549275,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764384/suppl/GSM5764384_filtered_feature_bc_matrix_CS85.h5,Liver_CD45+ Cells_ Human H16 (sample1)
GSM5764385,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,198,16324,10x Genomics – v3,CS87,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549276,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764385/suppl/GSM5764385_filtered_feature_bc_matrix_CS87.txt.gz,Liver_CD45+ Cells_ Human H16 (sample2)
GSM5764386,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,198,5404,10x Genomics – v3,CS101,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549277,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764386/suppl/GSM5764386_filtered_feature_bc_matrix_CS101.txt.gz,Liver_CD45+ Cells_ Human H18
GSM5764387,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,8108,10x Genomics – v3,CS108,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549278,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764387/suppl/GSM5764387_filtered_feature_bc_matrix_CS108.h5,Liver_CD45+ Cells_ Human H21
GSM5764388,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,4231,10x Genomics – v3,CS109,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549279,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764388/suppl/GSM5764388_filtered_feature_bc_matrix_CS109.h5,Liver_CD45+ CD14+CD16+ Cells_ Human H21
GSM5764389,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,7182,10x Genomics – v3,CS110,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549280,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764389/suppl/GSM5764389_filtered_feature_bc_matrix_CS110.h5,Liver_CD45+ Cells_ Human H22
GSM5764390,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,4876,10x Genomics – v3,CS111,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549281,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764390/suppl/GSM5764390_filtered_feature_bc_matrix_CS111.h5,Liver_CD45- Cells_ Human H22
GSM5764391,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,15343,10x Genomics – v3,CS112,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549282,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764391/suppl/GSM5764391_filtered_feature_bc_matrix_CS112.h5,Liver_CD45+ Cells_ Human H23
GSM5764392,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,12715,10x Genomics – v3,CS126,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549283,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764392/suppl/GSM5764392_filtered_feature_bc_matrix_CS126.h5,Liver_CD45+ Cells_ Human H25
GSM5764393,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Ex Vivo,0,4140,10x Genomics – v3,CS127,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549284,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764393/suppl/GSM5764393_filtered_feature_bc_matrix_CS127.h5,Liver_CD45- Cells_ Human H25
GSM5764394,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6921,10x Genomics – v3.1,CS161,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549285,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764394/suppl/GSM5764394_filtered_feature_bc_matrix_CS161.h5,Whole Liver Nuclei_Human H30 (sample1)
GSM5764395,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6273,10x Genomics – v3.1,CS162,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549286,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764395/suppl/GSM5764395_filtered_feature_bc_matrix_CS162.h5,Whole Liver Nuclei_Human H30 (sample2)
GSM5764396,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,1144,10x Genomics – v3.1,CS164,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549287,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764396/suppl/GSM5764396_filtered_feature_bc_matrix_CS164.h5,Whole Liver Nuclei_Human H32
GSM5764397,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6754,10x Genomics – v3.1,CS166,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549288,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764397/suppl/GSM5764397_filtered_feature_bc_matrix_CS166.h5,Whole Liver Nuclei_Human H37 (sample1)
GSM5764398,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6625,10x Genomics – v3.1,CS167,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549289,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764398/suppl/GSM5764398_filtered_feature_bc_matrix_CS167.h5,Whole Liver Nuclei_Human H37 (sample2)
GSM5764399,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,5084,10x Genomics – v3.1,CS169,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549290,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764399/suppl/GSM5764399_filtered_feature_bc_matrix_CS169.h5,Whole Liver Nuclei_Human H37 (sample3)
GSM5764400,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6784,10x Genomics – v3.1,CS170,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549291,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764400/suppl/GSM5764400_filtered_feature_bc_matrix_CS170.h5,Whole Liver Nuclei_Human H38 (sample1)
GSM5764401,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Nuclei,0,6515,10x Genomics – v3.1,CS171,N/A,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549292,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764401/suppl/GSM5764401_filtered_feature_bc_matrix_CS171.h5,Whole Liver Nuclei_Human H38 (sample2)
GSM5764402,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Gallus gallus,GPL23499,Ex Vivo,0,9349,10x Genomics – v3,CS76,Leghorn,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549220,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764402/suppl/GSM5764402_filtered_feature_bc_matrix_CS76.txt.gz,Chicken_001 Whole Liver Cells_Chicken
GSM5764403,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Gallus gallus,GPL23499,Ex Vivo,0,12993,10x Genomics – v3,CS77,Leghorn,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549221,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764403/suppl/GSM5764403_filtered_feature_bc_matrix_CS77.txt.gz,Chicken_002 Whole Liver Cells_Chicken
GSM5764404,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mesocricetus auratus,GPL28997,Ex Vivo,0,6703,10x Genomics – v3.1,CS149,Syrian,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549222,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764404/suppl/GSM5764404_filtered_feature_bc_matrix_CS149.txt.gz,Hamster_001 Whole Liver Cells_Hamster
GSM5764405,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mesocricetus auratus,GPL28997,Ex Vivo,0,5731,10x Genomics – v3.1,CS150,Syrian,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549223,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764405/suppl/GSM5764405_filtered_feature_bc_matrix_CS150.txt.gz,Hamster_002 Whole Liver Cells_Hamster
GSM5764406,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Macaca mulatta,GPL27943,Nuclei,0,5134,10x Genomics – v3.1,CS172,Cynomolgus,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549224,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764406/suppl/GSM5764406_filtered_feature_bc_matrix_CS172.h5,Macaque_001 Whole Liver Nuclei_Macaque
GSM5764407,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Macaca mulatta,GPL27943,Nuclei,0,5635,10x Genomics – v3.1,CS173,Cynomolgus,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549225,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764407/suppl/GSM5764407_filtered_feature_bc_matrix_CS173.h5,Macaque_002 Whole Liver Nuclei_Macaque
GSM5764408,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa,GPL22475,Ex Vivo,198,17726,10x Genomics – v3,CS78,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549226,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764408/suppl/GSM5764408_filtered_feature_bc_matrix_CS78.txt.gz,Pig_001 Whole Liver Cells_Pig
GSM5764409,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa,GPL22475,Ex Vivo,198,22802,10x Genomics – v3,CS79,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549227,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764409/suppl/GSM5764409_filtered_feature_bc_matrix_CS79.txt.gz,Pig_002 Whole Liver Cells_Pig
GSM5764410,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Danio rerio,GPL21741,Ex Vivo,0,1229,10x Genomics – v3,CS128,Tg(mpeg1:EGFP)gl22,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549228,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764410/suppl/GSM5764410_filtered_feature_bc_matrix_CS128.txt.gz,Zebrafish_001 Liver mpeg1.1+ cells_Zebrafish
GSM5764411,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Danio rerio,GPL21741,Ex Vivo,0,4126,10x Genomics – v3,CS129,Tg(mpeg1:EGFP)gl22,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549229,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764411/suppl/GSM5764411_filtered_feature_bc_matrix_CS129.txt.gz,Zebrafish_002 Liver mpeg1.1+ cells_Zebrafish
GSM5764412,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Danio rerio,GPL21741,Ex Vivo,0,2256,10x Genomics – v3,CS130,Tg(mpeg1:EGFP)gl22,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549230,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764412/suppl/GSM5764412_filtered_feature_bc_matrix_CS130.txt.gz,Zebrafish_001 Whole Liver Cells_Zebrafish
GSM5764413,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Danio rerio,GPL21741,Ex Vivo,0,1241,10x Genomics – v3,CS131,Tg(mpeg1:EGFP)gl22,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549231,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764413/suppl/GSM5764413_filtered_feature_bc_matrix_CS131.txt.gz,Zebrafish_002 Whole Liver Cells_Zebrafish
