gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,sample_type,source_name,sra_relation,supplementary_files,title
GSM7305467,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,WT,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20248995,,"HHL-5 cells, Control, FFAs750μM, rep1"
GSM7305468,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,WT,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20248996,,"HHL-5 cells, Control, FFAs750μM, rep2"
GSM7305469,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,WT,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20248997,,"HHL-5 cells, Control, FFAs750μM, rep3"
GSM7305470,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,ZBED3 overexpression,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20248998,,"HHL-5 cells, ZBED3-OE, FFAs750μM, rep1"
GSM7305471,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,ZBED3 overexpression,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20248999,,"HHL-5 cells, ZBED3-OE, FFAs750μM, rep2"
GSM7305472,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HHL-5,human embryonic hepatocytes,ZBED3 overexpression,SRA,HHL-5,https://www.ncbi.nlm.nih.gov/sra?term=SRX20249000,,"HHL-5 cells, ZBED3-OE, FFAs750μM, rep3"
