gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8292393,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727834,,Ctrl 1-A17
GSM8292394,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727835,,Ctrl 3-A18
GSM8292395,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727836,,Ctrl 4-A20
GSM8292396,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727837,,Ctrl 6-A22
GSM8292397,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727838,,Ctrl 7-A23
GSM8292398,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727839,,Ctrl 9-A24
GSM8292399,Controls,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,Controls,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727840,,Ctrl 11-A25
GSM8292400,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727841,,MASH 1-A54
GSM8292401,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727842,,MASH 2-A55
GSM8292402,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727843,,MASH 5-A57
GSM8292403,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727844,,MASH 8-A59
GSM8292404,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727845,,MASH 9-A60
GSM8292405,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727846,,MASH 12-A62
GSM8292406,MASH,Duodenum (epithelium),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,organoids,MASH,Duodenum (epithelium),SRA,Duodenum (epithelium),https://www.ncbi.nlm.nih.gov/sra?term=SRX24727847,,MASH 13-A63
GSM8292407,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727848,,MASH 1-A27
GSM8292408,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727849,,MASH 2-A28
GSM8292409,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727850,,MASH 3-A29
GSM8292410,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727851,,MASH 4-A30
GSM8292411,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727852,,MASH 5-A31
