gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__disease,raw__disease group,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8491509,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923130,,Liver sample 169
GSM8491510,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923131,,Liver sample 170
GSM8491511,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923132,,Liver sample 171
GSM8491512,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923133,,Liver sample 172
GSM8491513,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923134,,Liver sample 173
GSM8491514,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923135,,Liver sample 174
GSM8491515,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923136,,Liver sample 175
GSM8491516,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F4,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923137,,Liver sample 176
GSM8491517,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F0-2,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923138,,Liver sample 177
GSM8491518,CVH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,CVH,F0-2,liver,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX25923139,,Liver sample 178
