gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8139622,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898157,,WT untreated biol rep1
GSM8139623,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898158,,WT untreated biol rep2
GSM8139624,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898159,,WT 30min biol rep1
GSM8139625,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898160,,WT 30min biol rep2
GSM8139626,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898161,,WT 1hr biol rep1
GSM8139627,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898162,,WT 1hr biol rep2
GSM8139628,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898163,,WT 2hr biol rep1
GSM8139629,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898164,,WT 2hr biol rep2
GSM8139630,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898165,,WT 4hr biol rep1
GSM8139631,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898166,,WT 4hr biol rep2
