gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7113691,liver,Unstimulated control,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,Unstimulated control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758713,,1_Hepatic_Stellate_Cell_Control_72h
GSM7113692,liver,Unstimulated control,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,Unstimulated control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758714,,2_Hepatic_Stellate_Cell_Control_72h
GSM7113693,liver,Unstimulated control,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,Unstimulated control,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758715,,3_Hepatic_Stellate_Cell_Control_72h
GSM7113694,liver,IL13_10ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,IL13_10ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758716,,1_Hepatic_Stellate_Cell_IL13_10ng_per_ml_72h
GSM7113695,liver,IL13_10ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,IL13_10ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758717,,2_Hepatic_Stellate_Cell_IL13_10ng_per_ml_72h
GSM7113696,liver,IL13_10ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,IL13_10ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758718,,3_Hepatic_Stellate_Cell_IL13_10ng_per_ml_72h
GSM7113697,liver,TGFB1_5ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TGFB1_5ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758719,,1_Hepatic_Stellate_Cell_TGFB1_5ng_per_ml_72h
GSM7113698,liver,TGFB1_5ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TGFB1_5ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758720,,2_Hepatic_Stellate_Cell_TGFB1_5ng_per_ml_72h
GSM7113699,liver,TGFB1_5ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TGFB1_5ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758721,,3_Hepatic_Stellate_Cell_TGFB1_5ng_per_ml_72h
GSM7113700,liver,TNFA_20ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TNFA_20ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758722,,1_Hepatic_Stellate_Cell_TNFA_20ng_per_ml_72h
GSM7113701,liver,TNFA_20ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TNFA_20ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758723,,2_Hepatic_Stellate_Cell_TNFA_20ng_per_ml_72h
GSM7113702,liver,TNFA_20ng_per_ml,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL11154,Hepatic stellate cell,liver,TNFA_20ng_per_ml,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX19758724,,3_Hepatic_Stellate_Cell_TNFA_20ng_per_ml_72h
