gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__agent,raw__cell line,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM2946622,Control | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,Control,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595402,,Control Combined_RM01
GSM2946623,PCB_1uM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_1uM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595403,,PCB_1uM Combined_RM02
GSM2946624,PCB_10nM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_10nM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595404,,PCB_10nM Combined_RM03
GSM2946625,PCB_100pM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_100pM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595405,,PCB_100pM Combined_RM04
GSM2946626,Control | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,Control,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595406,,Control Combined_RM19
GSM2946627,PCB_1uM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_1uM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595407,,PCB_1uM Combined_RM20
GSM2946628,PCB_10nM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_10nM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595408,,PCB_10nM Combined_RM21
GSM2946629,PCB_100pM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_100pM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595409,,PCB_100pM Combined_RM22
GSM2946630,Control | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,Control,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595410,,Control Combined_RM37
GSM2946631,PCB_1uM | PCB 126,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,PCB 126,HepaRGTM cells (HPR 116),terminally differentiated hepatic cells,PCB_1uM,SRA,HepaRGTM cells (HPR 116),https://www.ncbi.nlm.nih.gov/sra?term=SRX3595411,,PCB_1uM Combined_RM38
