gsm,canon__diagnosis,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__diagn,raw__diagnosis,raw__subject id,raw__tissue,raw__treat(non)cirrhotic,raw__treatment,raw__treatorganism,raw__treatperfusionhr,sample_type,source_name,sra_relation,supplementary_files,title
GSM8578537,Healthy_Liver,,liver,H6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,,HL,Healthy_Liver,Human6,liver,Nc,H6,H,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414742,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578537/suppl/GSM8578537_104307-001-089.counts.tsv.gz,Human6_089
GSM8578538,Healthy_Liver,male,liver,P0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig1,liver,Nc,P0,P,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414743,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578538/suppl/GSM8578538_104307-001-002R.counts.tsv.gz,Pig1_002R
GSM8578539,Healthy_Liver,male,liver,P6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig1,liver,Nc,P6,P,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414744,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578539/suppl/GSM8578539_104307-001-010.counts.tsv.gz,Pig1_010
GSM8578540,Healthy_Liver,male,liver,P0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig2,liver,Nc,P0,P,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414745,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578540/suppl/GSM8578540_104307-001-018.counts.tsv.gz,Pig2_018
GSM8578541,Healthy_Liver,male,liver,P6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig2,liver,Nc,P6,P,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414746,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578541/suppl/GSM8578541_104307-001-026.counts.tsv.gz,Pig2_026
GSM8578542,Healthy_Liver,male,liver,P0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig3,liver,Nc,P0,P,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414747,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578542/suppl/GSM8578542_104307-001-034.counts.tsv.gz,Pig3_034
GSM8578543,Healthy_Liver,male,liver,P6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig3,liver,Nc,P6,P,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414748,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578543/suppl/GSM8578543_104307-001-041.counts.tsv.gz,Pig3_041
GSM8578544,Healthy_Liver,male,liver,P0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig4,liver,Nc,P0,P,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414749,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578544/suppl/GSM8578544_104307-001-050.counts.tsv.gz,Pig4_050
GSM8578545,Healthy_Liver,male,liver,P6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig4,liver,Nc,P6,P,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414750,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578545/suppl/GSM8578545_104307-001-058.counts.tsv.gz,Pig4_058
GSM8578546,Healthy_Liver,male,liver,P0,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig5,liver,Nc,P0,P,0,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414751,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578546/suppl/GSM8578546_104307-001-066.counts.tsv.gz,Pig5_066
GSM8578547,Healthy_Liver,male,liver,P6,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Sus scrofa domesticus,GPL29562,male,HL,Healthy_Liver,Pig5,liver,Nc,P6,P,6,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX26414752,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8578nnn/GSM8578547/suppl/GSM8578547_104307-001-073.counts.tsv.gz,Pig5_073
