gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9775947,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671169,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775947/suppl/GSM9775947_HCC_4T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775947/suppl/GSM9775947_HCC_4T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775947/suppl/GSM9775947_HCC_4T_position.txt.gz,"non-MASH-HCC, tumor 4, glycome, proteome"
GSM9775948,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671170,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775948/suppl/GSM9775948_HCC_4T_transcripts.tsv.gz,"non-MASH-HCC, tumor 4, transcriptome"
GSM9775949,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671171,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775949/suppl/GSM9775949_HCC_5T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775949/suppl/GSM9775949_HCC_5T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775949/suppl/GSM9775949_HCC_5T_position.txt.gz,"non-MASH-HCC, tumor 5, glycome, proteome"
GSM9775950,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671172,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775950/suppl/GSM9775950_HCC_5T_transcripts.tsv.gz,"non-MASH-HCC, tumor 5, transcriptome"
GSM9775951,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671173,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775951/suppl/GSM9775951_HCC_5N_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775951/suppl/GSM9775951_HCC_5N_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775951/suppl/GSM9775951_HCC_5N_position.txt.gz,"non-tumor background, non-tumor 5, glycome, proteome"
GSM9775952,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671174,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775952/suppl/GSM9775952_HCC_5N_transcripts.tsv.gz,"non-tumor background, non-tumor 5, transcriptome"
GSM9775953,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671175,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775953/suppl/GSM9775953_HCC_6T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775953/suppl/GSM9775953_HCC_6T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775953/suppl/GSM9775953_HCC_6T_position.txt.gz,"non-MASH-HCC, tumor 6, glycome, proteome"
GSM9775954,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671176,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775954/suppl/GSM9775954_HCC_6T_transcripts.tsv.gz,"non-MASH-HCC, tumor 6, transcriptome"
GSM9775955,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671177,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775955/suppl/GSM9775955_HCC_6N_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775955/suppl/GSM9775955_HCC_6N_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775955/suppl/GSM9775955_HCC_6N_position.txt.gz,"non-tumor background, non-tumor 6, glycome, proteome"
GSM9775956,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671178,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775956/suppl/GSM9775956_HCC_6N_transcripts.tsv.gz,"non-tumor background, non-tumor 6, transcriptome"
