gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9575152,Liver,SIM Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SIM Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438580,,HepG2_SIM_RSM4
GSM9575153,Liver,SEQ Vehicle Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438597,,HepG2_SEQ_Veh_RSM1
GSM9575154,Liver,SEQ Vehicle Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438598,,HepG2_SEQ_Veh_RSM2
GSM9575155,Liver,SEQ Vehicle Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438599,,HepG2_SEQ_Veh_RSM3
GSM9575156,Liver,SEQ Vehicle Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Vehicle Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438600,,HepG2_SEQ_Veh_RSM4
GSM9575157,Liver,SEQ Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438601,,HepG2_SEQ_RSM1
GSM9575158,Liver,SEQ Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438602,,HepG2_SEQ_RSM2
GSM9575159,Liver,SEQ Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438603,,HepG2_SEQ_RSM3
GSM9575160,Liver,SEQ Resmetirom 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,HepG2,Hepatocyte,WT,Liver,SEQ Resmetirom 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438604,,HepG2_SEQ_RSM4
GSM9575161,Liver,Negative ctrl (BSA) 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,Negative ctrl (BSA) 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438605,,Fa2N4_NT_1
