gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8340242,liver,PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993464,,PA treated HepG2 cells_1
GSM8340243,liver,PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993465,,PA treated HepG2 cells_2
GSM8340244,liver,PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993466,,PA treated HepG2 cells_3
GSM8340245,liver,Cur + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993467,,PA treated HepG2 cells for Cur incubation_1
GSM8340246,liver,Cur + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993468,,PA treated HepG2 cells for Cur incubation_2
GSM8340247,liver,Cur + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993469,,PA treated HepG2 cells for Cur incubation_3
GSM8340248,liver,Cur-Cu + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur-Cu + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993470,,PA treated HepG2 cells for Cur and copper incubation_1
GSM8340249,liver,Cur-Cu + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur-Cu + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993471,,PA treated HepG2 cells for Cur and copper incubation_2
GSM8340250,liver,Cur-Cu + PA,Illumina NovaSeq X Plus,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL34284,HepG2,Human hepatocellular carcinomas,cancer cell,liver,Cur-Cu + PA,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24993472,,PA treated HepG2 cells for Cur and copper incubation_3
