gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,sample_type,source_name,sra_relation,supplementary_files,title
GSM8257189,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488324,,HSC001_hNTO_12day_R1
GSM8257190,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488325,,HSC001_hNTO_12day_R2
GSM8257191,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488326,,HSC001_hNTO_12day_R3
GSM8257192,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488327,,HSC001_COL1A1_12day_R1
GSM8257193,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488328,,HSC001_COL1A1_12day_R2
GSM8257194,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488329,,HSC001_COL1A1_12day_R3
GSM8257195,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488330,,HSC001_NR3C1_12day_R1
GSM8257196,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488331,,HSC001_NR3C1_12day_R2
GSM8257197,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488332,,HSC001_NR3C1_12day_R3
GSM8257198,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HSC,SRA,HSC,https://www.ncbi.nlm.nih.gov/sra?term=SRX24488333,,HSC001_RARG_12day_R1
