gsm,canon__age,canon__sex,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__cell type,raw__donor type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM4852537,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353397,,"Kupffer cells, KO_1"
GSM4852538,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353398,,"Kupffer cells, KO_2"
GSM4852539,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353399,,"Kupffer cells, KO_3"
GSM4852540,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353400,,"Kupffer cells, WT_1"
GSM4852541,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353401,,"Kupffer cells, WT_2"
GSM4852542,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353402,,"Kupffer cells, WT_3"
GSM4852557,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353483,,"Kupffer cells, WT_35"
GSM4852558,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353484,,"Kupffer cells, WT_37"
GSM4852559,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353485,,"Kupffer cells, WT_80"
GSM4852560,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,control,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353486,,"Kupffer cells, WT_82"
GSM4852561,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353487,,"Kupffer cells, KO_40"
GSM4852562,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353488,,"Kupffer cells, KO_46"
GSM4852563,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353489,,"Kupffer cells, KO_88"
GSM4852564,,Male,Liver,High Fat Diet Model,HiSeq X Ten,size fractionation,transcriptomic,miRNA-Seq,total RNA,Mus musculus,GPL21273,Male,,Kupffer cells,,Trem2 KO,Liver,High Fat Diet Model,SRA,Kupffer cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353490,,"Kupffer cells, KO_90"
GSM4852565,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,control,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353497,,"Liver, ML1_N, WT"
GSM4852566,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,control,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353498,,"Liver, ML2, WT"
GSM4852567,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,control,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353499,,"Liver, ML3, WT"
GSM4852568,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,Trem2 KO,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353500,,"Liver, ML4, KO"
GSM4852569,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,Trem2 KO,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353501,,"Liver, ML5, KO"
GSM4852570,,Male,Liver,High Fat Diet Model,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,,,,Trem2 KO,Liver,High Fat Diet Model,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX9353502,,"Liver, ML6, KO"
