gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8769547,Liver,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,Vehicle,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536606,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769547/suppl/GSM8769547_Veh_1_abundance.tsv.gz,Veh_1
GSM8769548,Liver,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,Vehicle,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536607,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769548/suppl/GSM8769548_Veh_2_abundance.tsv.gz,Veh_2
GSM8769549,Liver,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,Vehicle,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536608,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769549/suppl/GSM8769549_Veh_3_abundance.tsv.gz,Veh_3
GSM8769550,Liver,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,Vehicle,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536609,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769550/suppl/GSM8769550_Veh_4_abundance.tsv.gz,Veh_4
GSM8769551,Liver,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,Vehicle,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536610,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769551/suppl/GSM8769551_Veh_5_abundance.tsv.gz,Veh_5
GSM8769552,Liver,DpC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,DpC,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536611,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769552/suppl/GSM8769552_DpC_1_abundance.tsv.gz,DpC_1
GSM8769553,Liver,DpC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,DpC,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536612,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769553/suppl/GSM8769553_DpC_2_abundance.tsv.gz,DpC_2
GSM8769554,Liver,DpC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,DpC,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536613,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769554/suppl/GSM8769554_DpC_3_abundance.tsv.gz,DpC_3
GSM8769555,Liver,DpC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,DpC,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536614,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769555/suppl/GSM8769555_DpC_4_abundance.tsv.gz,DpC_4
GSM8769556,Liver,DpC,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,1,,,Liver,DpC,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536615,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769556/suppl/GSM8769556_DpC_5_abundance.tsv.gz,DpC_5
GSM8769557,,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Vehicle,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536616,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769557/suppl/GSM8769557_abundance_Huh7_Veh_1.tsv.gz,Huh7_Veh_1
GSM8769558,,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Vehicle,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536617,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769558/suppl/GSM8769558_abundance_Huh7_Veh_2.tsv.gz,Huh7_Veh_2
GSM8769559,,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Vehicle,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536618,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769559/suppl/GSM8769559_abundance_Huh7_Veh_3.tsv.gz,Huh7_Veh_3
GSM8769560,,Vehicle,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Vehicle,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536619,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769560/suppl/GSM8769560_abundance_Huh7_Veh_4.tsv.gz,Huh7_Veh_4
GSM8769561,,Dp44mT,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Dp44mT,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536620,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769561/suppl/GSM8769561_abundance_Huh7_Dp44mT_1.tsv.gz,Huh7_Dp44mT_1
GSM8769562,,Dp44mT,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Dp44mT,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536621,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769562/suppl/GSM8769562_abundance_Huh7_Dp44mT_2.tsv.gz,Huh7_Dp44mT_2
GSM8769563,,Dp44mT,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Dp44mT,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536622,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769563/suppl/GSM8769563_abundance_Huh7_Dp44mT_3.tsv.gz,Huh7_Dp44mT_3
GSM8769564,,Dp44mT,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,2,Huh7,Hepatocyte,,Dp44mT,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536623,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8769nnn/GSM8769564/suppl/GSM8769564_abundance_Huh7_Dp44mT_4.tsv.gz,Huh7_Dp44mT_4
GSM8769565,,Ctrl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,3,Huh7,Hepatocyte,,Ctrl,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536624,,Control_1
GSM8769566,,Ctrl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,3,Huh7,Hepatocyte,,Ctrl,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536625,,Control_2
GSM8769567,,Ctrl,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,3,Huh7,Hepatocyte,,Ctrl,SRA,Huh7,https://www.ncbi.nlm.nih.gov/sra?term=SRX27536626,,Control_3
