gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__disease,raw__patient id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM6709882,NAFLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NAFLD,S001,liver,SRA,NAFLD memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158494,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709882/suppl/GSM6709882_S001_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709882/suppl/GSM6709882_S001_genes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709882/suppl/GSM6709882_S001_matrix.mtx.gz,S001
GSM6709883,NAFLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NAFLD,S003,liver,SRA,NAFLD memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158493,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709883/suppl/GSM6709883_S003_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709883/suppl/GSM6709883_S003_genes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709883/suppl/GSM6709883_S003_matrix.mtx.gz,S003
GSM6709884,NASH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NASH,S004,liver,SRA,NASH memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158491,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709884/suppl/GSM6709884_S004_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709884/suppl/GSM6709884_S004_genes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709884/suppl/GSM6709884_S004_matrix.mtx.gz,S004
GSM6709885,NAFLD,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NAFLD,S005,liver,SRA,NAFLD memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158492,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709885/suppl/GSM6709885_S005_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709885/suppl/GSM6709885_S005_genes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709885/suppl/GSM6709885_S005_matrix.mtx.gz,S005
GSM6709886,NASH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NASH,S006,liver,SRA,NASH memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158495,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709886/suppl/GSM6709886_S006_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709886/suppl/GSM6709886_S006_genes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709886/suppl/GSM6709886_S006_matrix.mtx.gz,S006
GSM6709887,NASH,liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,NASH,S008,liver,SRA,NASH memory CD45RA− CD4+ T cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX18158496,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709887/suppl/GSM6709887_S008_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709887/suppl/GSM6709887_S008_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6709nnn/GSM6709887/suppl/GSM6709887_S008_matrix.mtx.gz,S008
