gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8650033,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856436,,Healthy 1
GSM8650034,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856437,,Steatosis 1
GSM8650035,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856438,,Steatosis 2
GSM8650036,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856439,,Steatosis 3
GSM8650037,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856440,,Steatosis 4
GSM8650038,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856441,,Steatosis 5
GSM8650039,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856442,,Steatosis 6
GSM8650040,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856443,,Healthy 2
GSM8650041,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856444,,Steatosis 7
GSM8650042,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856445,,Steatosis 8
GSM8650043,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856446,,Healthy 3
