gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM6206872,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505887,,Model A rep 1
GSM6206873,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505888,,Model A rep 2
GSM6206874,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505889,,Model A rep 3
GSM6206875,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505890,,Model B rep1
GSM6206876,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505891,,Model B rep2
GSM6206877,liver,3D bio-printed and differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,3D bio-printed and differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505892,,Model B rep3
GSM6206878,liver,planar cell differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,planar cell differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505893,,2DD rep1
GSM6206879,liver,planar cell differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,planar cell differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505894,,2DD rep2
GSM6206880,liver,planar cell differentiation,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,hepaRG,liver stem cells,WT,liver,planar cell differentiation,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505895,,2DD rep3
GSM6206881,liver,planar cell culture,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,primary human hepatocyte,hepatocyte,WT,liver,planar cell culture,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505896,,PHH rep1
GSM6206882,liver,planar cell culture,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,primary human hepatocyte,hepatocyte,WT,liver,planar cell culture,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505897,,PHH rep2
GSM6206883,liver,planar cell culture,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,primary human hepatocyte,hepatocyte,WT,liver,planar cell culture,SRA,liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX15505898,,PHH rep3
