gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM5325534,Healthy,liver explant,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Healthy,liver explant,SRA,Healthy liver explant,https://www.ncbi.nlm.nih.gov/sra?term=SRX10947803,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325534/suppl/GSM5325534_healthy1_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325534/suppl/GSM5325534_healthy1_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325534/suppl/GSM5325534_healthy1_matrix.mtx.gz,Healthy liver sample 1
GSM5325535,Healthy,liver explant,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,Healthy,liver explant,SRA,Healthy liver explant,https://www.ncbi.nlm.nih.gov/sra?term=SRX10947804,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325535/suppl/GSM5325535_healthy2_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325535/suppl/GSM5325535_healthy2_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325535/suppl/GSM5325535_healthy2_matrix.mtx.gz,Healthy liver sample 2
GSM5325536,NAFLD,liver explant,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,NAFLD,liver explant,SRA,NAFLD liver explant,https://www.ncbi.nlm.nih.gov/sra?term=SRX10947805,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325536/suppl/GSM5325536_nafld1_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325536/suppl/GSM5325536_nafld1_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325536/suppl/GSM5325536_nafld1_matrix.mtx.gz,NAFLD liver sample 1
GSM5325537,NAFLD,liver explant,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,NAFLD,liver explant,SRA,NAFLD liver explant,https://www.ncbi.nlm.nih.gov/sra?term=SRX10947806,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325537/suppl/GSM5325537_nafld2_barcodes.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325537/suppl/GSM5325537_nafld2_features.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5325nnn/GSM5325537/suppl/GSM5325537_nafld2_matrix.mtx.gz,NAFLD liver sample 2
